Trade ID,Side,Status,Exit Reason,Entry Tick,Entry Price,Exit Tick,Exit Price,Units,Realized PnL
1,LONG,CLOSED,TRAILING_STOP,100,713.9650,113,716.2750,13.306,30.7368
2,LONG,CLOSED,TRAILING_STOP,232,740.8950,237,740.4350,12.8617,-5.9167
3,LONG,CLOSED,TRAILING_STOP,331,719.2700,334,714.3200,13.2406,-65.5411
4,LONG,CLOSED,TRAILING_STOP,376,720.5100,395,730.4700,13.1314,130.7882
5,LONG,CLOSED,TRAILING_STOP,582,724.0900,598,715.0200,13.2381,-120.0697
6,LONG,CLOSED,TRAILING_STOP,754,704.7100,776,708.7500,13.4403,54.2985
7,LONG,CLOSED,TRAILING_STOP,958,684.5800,964,681.4600,13.9108,-43.4016
8,LONG,CLOSED,TRAILING_STOP,977,689.3600,987,688.0100,13.7546,-18.5684
9,LONG,CLOSED,TRAILING_STOP,988,690.1400,1043,724.7200,13.7135,474.2122
10,LONG,CLOSED,TRAILING_STOP,1117,723.0150,1123,721.7800,13.713,-16.9354
11,LONG,CLOSED,TRAILING_STOP,1217,733.2900,1225,731.4601,13.4989,-24.7016
12,LONG,CLOSED,TRAILING_STOP,1431,712.1700,1432,710.1450,13.8663,-28.0787
13,LONG,CLOSED,TRAILING_STOP,1452,712.3450,1475,717.3300,13.8254,68.9203
14,LONG,CLOSED,TRAILING_STOP,1481,721.0600,1483,719.7110,13.7491,-18.5475
15,LONG,CLOSED,TRAILING_STOP,1486,722.2901,1490,720.7600,13.7013,-20.9642
